"","taxan","gene.ID","t","N","S","dnds","dN","ds","NdN","SdS","lnl","taxa"
"15","1","NC_006127_-_CMYA5_CDS","0.264","4155.3","1415.7","0.4139","0.0648","0.1566","269.4","221.7","-16577.084162","GGA"
"16","1","NC_006127_-_HAUS6_CDS","0.099","1709","580","0.3918","0.0236","0.0603","40.4","35","-8057.17087","GGA"
"17","1","NC_006127_-_HEXB_CDS","0.233","925.3","340.7","0.1237","0.0268","0.2164","24.8","73.7","-3195.826747","GGA"
"18","1","NC_006127_-_ANKRD55_CDS","0.269","1371.1","548.9","0.3538","0.0589","0.1664","80.7","91.4","-4960.120216","GGA"
"19","1","NC_006127_-_LOC100858799_CDS","0.264","2879.7","1119.3","0.1076","0.0265","0.246","76.2","275.4","-9179.105026","GGA"
"20","1","NC_006127_-_ELOVL7_CDS","0.192","611.4","225.6","0.0528","0.011","0.2074","6.7","46.8","-1864.998828","GGA"
"21","1","NC_006127_-_RFX3_CDS","0.083","1615.6","631.4","0.0265","0.0025","0.0925","4","58.4","-4021.390097","GGA"
"22","1","NC_006127_-_HEMGN_CDS","1.064","348.4","131.6","0.4358","0.2618","0.6006","91.2","79","-1614.717682","GGA"
"23","1","NC_006127_-_GDNF_CDS","0.135","353.8","123.2","0.1083","0.0144","0.1329","5.1","16.4","-981.917888","GGA"
"24","1","NC_006127_-_GFM2_CDS","0.217","1702.1","622.9","0.1443","0.0279","0.1936","47.6","120.6","-5858.43513","GGA"
"25","1","NC_006127_-_IQGAP2_CDS","0.151","3490.7","1153.3","0.0977","0.0152","0.1561","53.2","180.1","-10152.335893","GGA"
"26","1","NC_006127_-_MLLT3_CDS","0.124","1188.4","416.6","0.1907","0.0197","0.1035","23.5","43.1","-3506.362574","GGA"
"27","1","NC_006127_-_CELF4_CDS","0.059","991.2","424.8","1e-04","0","0.0657","0","27.9","-2425.889013","GGA"
"28","1","NC_006127_-_CTIF_CDS","0.236","1261.4","499.6","0.0588","0.0142","0.242","17.9","120.9","-3717.848939","GGA"
"29","1","NC_006127_-_BX255923.2_CDS","0.296","824.7","264.3","0.0558","0.0193","0.3468","15.9","91.6","-2580.120267","GGA"
"30","1","NC_006127_-_GLIS3_CDS","0.424","922","386","0.3068","0.0847","0.2762","78.1","106.6","-3690.641278","GGA"
"31","1","NC_006127_-_LOC101748661_CDS","0.053","532.1","214.9","1.2895","0.0187","0.0145","10","3.1","-2477.819496","GGA"
"32","1","NC_006127_-_DAPK1_CDS","0.156","3082.8","1132.2","0.0387","0.0068","0.1752","20.9","198.4","-8761.874823","GGA"
"33","1","NC_006127_-_IKBKAP_CDS","0.217","2834.9","1164.1","0.2805","0.0415","0.1479","117.6","172.1","-10701.303185","GGA"
"34","1","NC_006127_-_DHFR_CDS","0.169","339.5","110.5","0.1039","0.0181","0.1737","6.1","19.2","-1063.737124","GGA"
"35","1","NC_006127_-_DCAF10_CDS","0.96","781.7","319.3","0.0142","0.0151","1.0664","11.8","340.5","-2426.513111","GGA"
"36","1","NC_006127_-_ARRDC3_CDS","0.181","881.1","360.9","0.0292","0.0057","0.194","5","70","-2377.363669","GGA"
"37","1","NC_006127_-_LOC101750245_CDS","1.386","378.3","134.7","0.3343","0.3033","0.9072","114.7","122.2","-1857.867106","GGA"
"38","1","NC_006127_-_F2RL1_CDS","0.037","789.9","299.1","0.1624","0.0051","0.0316","4.1","9.5","-2707.17854","GGA"
"39","1","NC_006127_-_KCNN2_CDS","0.08","1055.1","375.9","0.0658","0.0057","0.086","6","32.3","-2540.171149","GGA"
"40","1","NC_006127_-_FREM1_CDS","0.229","1371.1","536.9","0.3606","0.0508","0.1409","69.7","75.7","-4843.056294","GGA"
"41","1","NC_006127_-_CA9_CDS","0.51","626.9","270.1","0.4038","0.1177","0.2916","73.8","78.7","-2945.015341","GGA"
"42","1","NC_006127_-_CZH9ORF3_CDS","0.245","1549","599","0.3178","0.0512","0.161","79.3","96.4","-5352.153282","GGA"
"43","1","NC_006127_-_CREB3_CDS","0.334","643.3","283.7","0.3877","0.0751","0.1936","48.3","54.9","-2905.316176","GGA"
"44","1","NC_006127_-_GCNT1_CDS","0.122","941.3","324.7","0.0597","0.0081","0.1353","7.6","43.9","-2983.912364","GGA"
"45","1","NC_006127_-_RPL17_CDS","0","401.4","150.6","1e-04","0","0","0","0","-1096.302081","GGA"
"46","1","NC_006127_-_APH1A_CDS","2.27","238.5","106.5","0.5118","0.5845","1.1421","139.4","121.6","-1442.343147","GGA"
"47","1","NC_006127_-_DOCK8_CDS","0.171","4433.8","1647.2","0.0944","0.0158","0.1676","70.1","276","-14123.985994","GGA"
"48","1","NC_006127_-_C7_CDS","0.31","1818.8","668.2","0.1941","0.0488","0.2516","88.8","168.1","-6697.751761","GGA"
"49","1","NC_006127_-_HCN1_CDS","0.103","1539.3","596.7","0.0596","0.0064","0.1067","9.8","63.7","-4460.306302","GGA"
"50","1","NC_006127_-_AAED1_CDS","0.189","397.8","139.2","0.2603","0.0363","0.1395","14.4","19.4","-1338.81577","GGA"
"51","1","NC_006127_-_HNRNPK_CDS","0.096","934","323","1e-04","0","0.1247","0","40.3","-2375.909264","GGA"
"52","1","NC_006127_-_KIF27_CDS","0.117","1044.3","311.7","0.1287","0.0152","0.1183","15.9","36.9","-3910.53726","GGA"
"53","1","NC_006127_-_CORO2A_CDS","0.034","1121.4","441.6","0.6006","0.0096","0.0159","10.7","7","-4081.752442","GGA"
"54","1","NC_006127_-_ADAMTS6_CDS","0.105","2329.7","874.3","0.0809","0.0085","0.1056","19.9","92.3","-6009.942204","GGA"
"55","1","NC_006127_-_AGGF1_CDS","0.063","1463.8","492.2","0.17","0.0095","0.0558","13.9","27.5","-4869.47151","GGA"
"56","1","NC_006127_-_DYM_CDS","0.242","1438.8","568.2","0.0417","0.0107","0.2576","15.5","146.4","-4284.247425","GGA"
"57","1","NC_006127_-_NLN_CDS","0.15","1516.2","520.8","0.1065","0.0159","0.1491","24.1","77.6","-4446.800497","GGA"
"58","1","NC_006127_-_KIF24_CDS","0.024","2723.5","1032.5","0.5553","0.0067","0.012","18.1","12.4","-11031.036448","GGA"
"59","1","NC_006127_-_CZH5ORF28_CDS","0.215","458.4","186.6","0.1116","0.0216","0.194","9.9","36.2","-1386.693433","GGA"
"60","1","NC_006127_-_CHRNB3_CDS","0.162","915.7","344.3","0.1527","0.0214","0.1404","19.6","48.3","-2891.903884","GGA"
"61","1","NC_006127_-_GPBP1_CDS","0.186","1028.8","378.2","0.1956","0.0295","0.1508","30.3","57","-3096.740056","GGA"
"62","1","NC_006127_-_COL4A3BP_CDS","0.079","1117.6","403.4","0.0382","0.0034","0.0899","3.8","36.3","-2880.599294","GGA"
"63","1","NC_006127_-_DAB2_CDS","0.232","1481.6","567.4","0.2887","0.0459","0.1591","68.1","90.3","-5367.586197","GGA"
"64","1","NC_006127_-_KIAA1161_CDS","1.189","56.4","21.6","1.2261","0.4178","0.3407","23.6","7.4","-217.340944","GGA"
"65","1","NC_006127_-_DHX29_CDS","0.169","2892.8","1016.2","0.1688","0.0247","0.1462","71.4","148.5","-9002.182366","GGA"
"66","1","NC_006127_-_PDE4D_CDS","0.156","1422.6","539.4","0.0505","0.0084","0.1671","12","90.1","-3667.095232","GGA"
"67","1","NC_006127_-_CETN3_CDS","0.096","366.4","104.6","0.0979","0.0105","0.1077","3.9","11.3","-949.386154","GGA"
"68","1","NC_006127_-_HSDL2_CDS","0.241","918.8","320.2","0.1788","0.0367","0.2052","33.7","65.7","-3134.208291","GGA"
"69","1","NC_006127_-_ADAMTS12_CDS","0.218","2339","883","0.3453","0.0479","0.1386","112","122.4","-8853.41849","GGA"
"70","1","NC_006127_-_MUSK_CDS","0.303","2012.9","825.1","0.0611","0.0185","0.3024","37.2","249.5","-6616.155139","GGA"
"71","1","NC_006127_-_EPB41L4A_CDS","0.159","1368.5","476.5","0.124","0.0188","0.1513","25.7","72.1","-4077.206249","GGA"
"72","1","NC_006127_-_GALT_CDS","0.063","710.7","321.3","0.082","0.0047","0.0572","3.3","18.4","-2627.21111","GGA"
"73","1","NC_006127_-_DNAI1_CDS","0.18","1452.4","533.6","0.2856","0.036","0.1259","52.2","67.2","-5302.718351","GGA"
"74","1","NC_006127_-_IL7R_CDS","0.362","958","365","0.3142","0.0753","0.2398","72.2","87.5","-4136.402858","GGA"
"75","1","NC_006127_-_ERCC8_CDS","0.178","752.6","270.4","0.2096","0.0298","0.142","22.4","38.4","-2337.065639","GGA"
"76","1","NC_006127_-_ISL1_CDS","0.067","738.9","302.1","1e-04","0","0.0767","0","23.2","-1824.269263","GGA"
"77","1","NC_006127_-_FXN_CDS","0.102","301.9","106.1","0.3062","0.0215","0.0702","6.5","7.4","-958.729417","GGA"
"78","1","NC_006127_-_CWC27_CDS","0.184","710.8","216.2","0.1073","0.0208","0.1941","14.8","42","-2143.552747","GGA"
"79","1","NC_006127_-_AGTPBP1_CDS","0.18","2666.6","915.4","0.1112","0.0197","0.1772","52.5","162.3","-8179.296465","GGA"
"80","1","NC_006127_-_CHRNA6_CDS","0.208","1033.5","364.5","0.0676","0.0151","0.223","15.6","81.3","-3273.789321","GGA"
"81","1","NC_006127_-_SHC3_CDS","0.201","1341.5","512.5","0.3237","0.0424","0.1309","56.9","67.1","-4407.039629","GGA"
"82","1","NC_006127_-_PHF24_CDS","0.217","592.1","259.9","0.1713","0.0292","0.1703","17.3","44.3","-2183.887552","GGA"
"83","1","NC_006127_-_RP11-195F19.29_CDS","0.251","646.3","301.7","0.0867","0.0192","0.2215","12.4","66.8","-2553.366192","GGA"
"84","1","NC_006127_-_UBQLN1_CDS","0.274","1152","447","0.3091","0.0562","0.1816","64.7","81.2","-3539.515276","GGA"
"85","1","NC_006127_-_ANKDD1B_CDS","0.316","977.1","342.9","0.1576","0.044","0.2795","43","95.8","-3376.255007","GGA"
"86","1","NC_006127_-_ALDH1A1_CDS","0.183","1129.3","367.7","0.0652","0.0135","0.2071","15.3","76.2","-3263.3262","GGA"
"87","1","NC_006127_-_DMRT2_CDS","0.39","685","266","0.1586","0.0523","0.33","35.9","87.8","-2447.073783","GGA"
"88","1","NC_006127_-_ESM1_CDS","0.27","399.1","155.9","0.0462","0.0132","0.2862","5.3","44.6","-1294.84311","GGA"
"89","1","NC_006127_-_BHMT_CDS","0.157","862.5","313.5","0.0584","0.0098","0.1687","8.5","52.9","-2575.205455","GGA"
"90","1","NC_006127_-_LOC107051935_CDS","0.19","1309.5","430.5","0.0857","0.0174","0.2029","22.8","87.3","-3785.307106","GGA"
"91","1","NC_006127_-_MED18_CDS","0.301","444.8","179.2","0.006","0.0021","0.3446","0.9","61.7","-1319.505238","GGA"
"92","1","NC_006127_-_TPM2_CDS","0.305","454.8","172.2","0.0687","0.0215","0.3129","9.8","53.9","-1577.342388","GGA"
"93","1","NC_006127_-_ADGRV1_CDS","0.217","12810.4","4622.6","0.2471","0.04","0.1619","512.4","748.3","-43769.589657","GGA"
"94","1","NC_006127_-_ACO1_CDS","0.142","1942.8","724.2","0.0525","0.008","0.1528","15.6","110.6","-6045.141642","GGA"
"95","1","NC_006127_-_ALDH7A1_CDS","0.165","1026.1","404.9","0.0859","0.0137","0.1596","14.1","64.6","-3008.224385","GGA"
"96","1","NC_006127_-_CZH5ORF34_CDS","0.317","956","358","0.2731","0.0612","0.224","58.5","80.2","-3827.757655","GGA"
"97","1","NC_006127_-_FBXO4_CDS","0.272","685.9","265.1","0.1874","0.041","0.2189","28.1","58","-2384.90066","GGA"
"98","1","NC_006127_-_CZH9ORF64_CDS","0.362","740.3","282.7","0.1113","0.0376","0.3382","27.9","95.6","-2749.710556","GGA"
"99","1","NC_006127_-_LOC431653_CDS","1.043","56.1","21.9","5.0538","0.4486","0.0888","25.2","1.9","-223.321536","GGA"
"100","1","NC_006127_-_CCDC112_CDS","0.361","733.5","220.5","0.443","0.0933","0.2105","68.4","46.4","-2693.197911","GGA"
"101","1","NC_006127_-_GOLM1_CDS","0.388","832","284","0.4167","0.0953","0.2287","79.3","64.9","-3238.295389","GGA"
"102","1","NC_006127_-_MPDZ_CDS","0.208","4480.8","1543.2","0.3602","0.0477","0.1324","213.7","204.3","-14368.771787","GGA"
"103","1","NC_006127_-_ANXA1_CDS","0.24","776.3","249.7","0.0888","0.0229","0.2575","17.7","64.3","-2486.58764","GGA"
"104","1","NC_006127_-_AVD_CDS","0.744","279.3","122.7","0.6598","0.2143","0.3248","59.9","39.8","-1610.491486","GGA"
"105","1","NC_006127_-_MELK_CDS","50","1094.5","363.5","0.0099","0.6458","64.907","706.8","23593.2","-5431.409933","GGA"
"106","1","NC_006127_-_AMACR_CDS","0.153","708.9","251.1","0.1816","0.0234","0.1286","16.6","32.3","-2445.874543","GGA"
"107","1","NC_006127_-_OXCT1_CDS","0.096","717.1","245.9","0.0514","0.0056","0.1085","4","26.7","-2056.350404","GGA"
"108","1","NC_006127_-_NDUFS4_CDS","0.086","372.2","140.8","0.1074","0.0087","0.0809","3.2","11.4","-1165.910251","GGA"
"109","1","NC_006127_-_FEM1C_CDS","0.153","1145.3","417.7","0.104","0.0154","0.1483","17.7","62","-3320.223886","GGA"
"110","1","NC_006127_-_ERCC6L2_CDS","0.324","3227.8","1089.2","0.4282","0.0808","0.1888","261","205.6","-12000.756357","GGA"
"111","1","NC_006127_-_AVDL_CDS","0.568","291.1","128.9","0.4543","0.1384","0.3047","40.3","39.3","-1477.185959","GGA"
"112","1","NC_006127_-_CTSL2_CDS","0.17","631.2","211.8","0.0372","0.0076","0.2033","4.8","43.1","-1774.392564","GGA"
"113","1","NC_006127_-_HAPLN1_CDS","0.865","752.9","306.1","0.0241","0.0227","0.9414","17.1","288.1","-2482.356141","GGA"
"114","1","NC_006127_-_CFC1B_CDS","0.413","399.6","149.4","0.5538","0.113","0.2041","45.2","30.5","-1595.126953","GGA"
"115","1","NC_006127_-_GLDC_CDS","0.188","2052.1","776.9","0.0451","0.0092","0.2041","18.9","158.5","-6146.933712","GGA"
"116","1","NC_006127_-_FP325317.1_CDS","0.297","611.3","237.7","0.3369","0.0639","0.1897","39.1","45.1","-2566.534706","GGA"
"117","1","NC_006127_-_FAM169A_CDS","0.368","1448.1","504.9","0.5445","0.1009","0.1854","146.2","93.6","-5497.062702","GGA"
"118","1","NC_006127_-_B4GALT1_CDS","0.294","573.6","209.4","0.0812","0.0244","0.3002","14","62.9","-1844.107005","GGA"
"119","1","NC_006127_-_CAPSL_CDS","0.149","448.6","145.4","0.092","0.0145","0.1577","6.5","22.9","-1395.30315","GGA"
"120","1","NC_006127_-_ANKRA2_CDS","0.179","672.8","266.2","0.0142","0.0029","0.2029","1.9","54","-1956.275616","GGA"
"121","1","NC_006127_-_MIER3_CDS","0.142","1216","431","0.0524","0.0083","0.1576","10.1","67.9","-3266.472132","GGA"
"122","1","NC_006127_-_LPL_CDS","0.184","982.2","385.8","0.0833","0.0149","0.1792","14.7","69.1","-3362.738561","GGA"
"123","1","NC_006127_-_PLAA_CDS","0.241","1627.3","574.7","0.1438","0.0314","0.2184","51.1","125.5","-4956.555304","GGA"
"124","1","NC_006127_-_ITGA1_CDS","0.153","2601.8","881.2","0.0997","0.0156","0.1561","40.5","137.6","-8290.522167","GGA"
"125","1","NC_006127_-_DNAJC25_CDS","0.073","586.6","196.4","0.064","0.0052","0.0818","3.1","16.1","-1751.01883","GGA"
"126","1","NC_006127_-_ANKRD32_CDS","0.313","1989.5","692.5","0.5694","0.0872","0.1532","173.5","106.1","-7483.537064","GGA"
"127","1","NC_006127_-_ATP5I_CDS","0.217","134.8","42.2","0.0693","0.0172","0.2486","2.3","10.5","-443.4333","GGA"
"128","1","NC_006127_-_GNA14_CDS","1.632","561.9","194.1","0.0652","0.1163","1.7828","65.3","346.1","-1855.959735","GGA"
"129","1","NC_006127_-_OSMR_CDS","0.388","714.3","263.7","0.8578","0.1238","0.1444","88.5","38.1","-3193.029073","GGA"
"130","1","NC_006127_-_NAA35_CDS","0.129","1633","542","0.0142","0.0023","0.1654","3.8","89.7","-4154.634481","GGA"
"131","1","NC_006127_-_NIPSNAP3A_CDS","0.206","428.4","168.6","0.1112","0.0211","0.1899","9.1","32","-1470.041218","GGA"
"132","1","NC_006127_-_TRIM23_CDS","0.084","997.7","361.3","0.0415","0.0039","0.0948","3.9","34.2","-2598.134955","GGA"
"133","1","NC_006127_-_ANKRD34B_CDS","1.159","1073.2","387.8","0.2465","0.2132","0.865","228.8","335.5","-4410.618502","GGA"
"134","1","NC_006127_-_GNG10_CDS","0.156","93.1","44.9","1e-04","0","0.16","0","7.2","-314.163901","GGA"
"135","1","NC_006127_-_CD72_CDS","0.613","427.5","172.5","0.1766","0.0873","0.494","37.3","85.2","-2312.443766","GGA"
"136","1","NC_006127_-_FAM219A_CDS","0.075","348.8","149.2","1e-04","0","0.0833","0","12.4","-922.340452","GGA"
"137","1","NC_006127_-_MEF2C_CDS","0.078","992","376","0.0108","0.001","0.0922","1","34.7","-2521.338524","GGA"
"138","1","NC_006127_-_S100Z_CDS","0.287","218.5","75.5","0.1956","0.0465","0.2378","10.2","18","-693.12593","GGA"
"139","1","NC_006127_-_MOCS2_CDS","0.133","350.7","114.3","0.0897","0.0127","0.1419","4.5","16.2","-1108.432842","GGA"
"140","1","NC_006127_-_BRIX1_CDS","0.074","749.2","270.8","0.1066","0.0077","0.072","5.7","19.5","-2589.71095","GGA"
"141","1","NC_006127_-_OTP_CDS","0.674","377.3","174.7","0.4052","0.1534","0.3786","57.9","66.1","-1208.658712","GGA"
"142","1","NC_006127_-_FCHO2_CDS","0.127","1767.5","593.5","0.0618","0.0088","0.1418","15.5","84.2","-4868.50529","GGA"
"143","1","NC_006127_-_ACOT12_CDS","0.226","1109.4","420.6","0.3993","0.0533","0.1335","59.1","56.1","-4125.314352","GGA"
"144","1","NC_006127_-_NMRK1_CDS","0.246","467.6","141.4","0.12","0.0304","0.2532","14.2","35.8","-1538.523564","GGA"
"145","1","NC_006127_-_TLE1_CDS","0.109","1636.2","649.8","0.0213","0.0026","0.1214","4.2","78.9","-4223.688575","GGA"
"146","1","NC_006127_-_LURAP1L_CDS","0.217","278.7","96.3","0.1152","0.0243","0.2114","6.8","20.4","-811.170438","GGA"
"147","1","NC_006127_-_POC5_CDS","0.412","1087.4","382.6","1.0736","0.1399","0.1303","152.1","49.9","-3976.037321","GGA"
"148","1","NC_006127_-_MRPL50_CDS","0.329","232.4","106.6","0.1192","0.033","0.2769","7.7","29.5","-1149.709801","GGA"
"149","1","NC_006127_-_SCAMP1_CDS","0.092","636.6","209.4","1e-04","0","0.1236","0","25.9","-1691.990375","GGA"
"150","1","NC_006127_-_FBN2_CDS","1.552","5755.1","2164.9","0.0668","0.1074","1.6074","618.2","3479.9","-22145.986817","GGA"
"151","1","NC_006127_-_DCAF12_CDS","0.228","673.2","274.8","0.1485","0.0285","0.1919","19.2","52.7","-1981.928305","GGA"
"152","1","NC_006127_-_FUT10_CDS","0.262","1032.5","392.5","0.1502","0.0341","0.2274","35.3","89.2","-3541.589313","GGA"
"153","1","NC_006127_-_DNAJB5_CDS","0.102","752.3","324.7","1e-04","0","0.1126","0","36.6","-2199.70104","GGA"
"154","1","NC_006127_-_CLTA_CDS","2.244","313.4","112.6","0.0988","0.2192","2.2196","68.7","249.9","-1238.656522","GGA"
"155","1","NC_006127_-_ADAMTS19_CDS","0.179","2577.1","953.9","0.1082","0.0185","0.1709","47.6","163","-7605.813701","GGA"
"156","1","NC_006127_-_ELAVL2_CDS","0.162","819.3","320.7","0.1258","0.0183","0.1453","15","46.6","-2180.065417","GGA"
"157","1","NC_006127_-_LOC107051889_CDS","1.885","266.4","81.6","0.5019","0.5098","1.0158","135.8","82.9","-1363.544367","GGA"
"158","1","NC_006127_-_COX7C_CDS","0.686","131.5","57.5","0.0365","0.0253","0.6941","3.3","39.9","-551.720659","GGA"
"159","1","NC_006127_-_ST8SIA3_CDS","50","644.7","234.3","0.0099","0.603","60.8699","388.7","14261.3","-2564.084074","GGA"
"160","1","NC_006127_-_C5ORF30_CDS","0.283","352.6","130.4","0.3719","0.0647","0.1739","22.8","22.7","-1137.442781","GGA"
"161","1","NC_006127_-_MRPS30_CDS","0.13","837.5","326.5","1.2344","0.0458","0.0371","38.4","12.1","-3416.564005","GGA"
"162","1","NC_006127_-_HTR1A_CDS","0.101","576.2","260.8","0.1678","0.0133","0.079","7.6","20.6","-1812.290774","GGA"
"163","1","NC_006127_-_DDX4_CDS","0.321","1073.6","357.4","0.3301","0.071","0.2151","76.2","76.9","-3852.39148","GGA"
"164","1","NC_006127_-_LOC107051909_CDS","0.062","810.3","338.7","0.2716","0.0116","0.0426","9.4","14.4","-3263.746899","GGA"
"165","1","NC_006127_-_FBP2_CDS","0.166","745.6","274.4","0.0722","0.0124","0.1723","9.3","47.3","-2206.819523","GGA"
"166","1","NC_006127_-_C6_CDS","0.285","2043.7","743.3","0.2633","0.0544","0.2065","111.1","153.5","-7443.503911","GGA"
"167","1","NC_006127_-_CNTFR_CDS","0.024","480.2","203.8","999","0.0113","0","5.4","0","-1979.549497","GGA"
"168","1","NC_006127_-_ADAMTSL1_CDS","0.199","3099.1","1265.9","0.1212","0.0213","0.1761","66.2","222.9","-10763.708286","GGA"
"169","1","NC_006127_-_CRHBP_CDS","0.308","690.8","275.2","0.0826","0.0246","0.2981","17","82.1","-2278.118967","GGA"
"170","1","NC_006127_-_FAM214B_CDS","0.197","931.7","433.3","0.2181","0.0306","0.1406","28.6","60.9","-3324.367717","GGA"
"171","1","NC_006127_-_GADD45B_CDS","0.332","295.2","127.8","0.1354","0.0378","0.2789","11.1","35.6","-1057.939335","GGA"
"172","1","NC_006127_-_KIAA0825_CDS","0.187","2134.6","769.4","0.2486","0.0345","0.139","73.7","106.9","-7039.627204","GGA"
"173","1","NC_006127_-_ENC1_CDS","0.201","1252.4","514.6","1e-04","0","0.2296","0","118.2","-3487.599368","GGA"
"174","1","NC_006127_-_AUH_CDS","0.155","500.3","189.7","0.0464","0.0077","0.1671","3.9","31.7","-1392.885034","GGA"
"175","1","NC_006127_-_GRHPR_CDS","0.257","486.8","209.2","0.1685","0.0346","0.2051","16.8","42.9","-1831.797608","GGA"
"176","1","NC_006127_-_CTC-487M23.8_CDS","0.111","305","88","1e-04","0","0.1647","0","14.5","-780.018209","GGA"
"177","1","NC_006127_-_BNC2_CDS","0.091","2192.7","831.3","0.0307","0.0031","0.1021","6.9","84.9","-5830.643911","GGA"
"178","1","NC_006127_-_CEP78_CDS","0.227","1634.7","570.3","0.2133","0.0388","0.1819","63.4","103.7","-5970.690312","GGA"
"179","1","NC_006127_-_KIAA1024L_CDS","0.267","422.5","162.5","0.2187","0.0446","0.204","18.9","33.2","-1445.54414","GGA"
"180","1","NC_006127_-_ARHGEF39_CDS","0.269","717.1","296.9","0.1751","0.0377","0.2154","27","63.9","-2752.984656","GGA"
"181","1","NC_006127_-_MTMR12_CDS","0.113","1531.4","556.6","0.0962","0.0107","0.1115","16.4","62.1","-4729.072646","GGA"
"182","1","NC_006127_-_LOC769899_CDS","0.75","264.5","116.5","0.5636","0.2021","0.3587","53.5","41.8","-1511.330683","GGA"
"183","1","NC_006127_-_CER1_CDS","0.209","560.1","216.9","1.3281","0.0747","0.0562","41.8","12.2","-2228.0261","GGA"
"184","1","NC_006127_-_ERBB2IP_CDS","0.18","3113.2","1119.8","0.123","0.0208","0.1687","64.6","188.9","-9541.206989","GGA"
"185","1","NC_006127_-_NSA2_CDS","0.083","579.7","200.3","0.0793","0.0069","0.0874","4","17.5","-1599.08686","GGA"
"186","1","NC_006127_-_IFT74_CDS","0.274","1331.4","441.6","0.4475","0.0698","0.1559","92.9","68.8","-4532.063388","GGA"
"187","1","NC_006127_-_MTX3_CDS","0.171","607.3","223.7","0.2823","0.0338","0.1198","20.5","26.8","-1975.155993","GGA"
"188","1","NC_006127_-_MARVELD2_CDS","0.232","987.1","377.9","0.2951","0.0466","0.1581","46","59.7","-3639.518504","GGA"
"189","1","NC_006127_-_LOC407092_CDS","0.103","2349.2","989.8","0.1239","0.0111","0.0898","26.1","88.9","-6854.126451","GGA"
"190","1","NC_006127_-_SMAD2_CDS","0.179","1000.3","397.7","1e-04","0","0.2095","0","83.3","-2641.274711","GGA"
"191","1","NC_006127_-_KIAA1328_CDS","0.246","767.2","306.8","0.8805","0.0789","0.0896","60.5","27.5","-3229.606784","GGA"
"192","1","NC_006127_-_MAST4_CDS","0.04","5145","1914","0.245","0.0073","0.0297","37.5","56.9","-17647.097228","GGA"
"193","1","NC_006127_-_TMEM215_CDS","0.186","496.3","208.7","0.1283","0.0206","0.1606","10.2","33.5","-1755.605287","GGA"
"194","1","NC_006127_-_SV2C_CDS","0.116","1580.7","564.3","0.0838","0.01","0.1194","15.8","67.4","-4598.258639","GGA"
"195","1","NC_006127_-_PRKAA1_CDS","0.147","1204.1","451.9","0.0281","0.0047","0.1666","5.6","75.3","-3271.216837","GGA"
"196","1","NC_006127_-_ARSK_CDS","0.045","1065.2","389.8","0.2189","0.0077","0.0352","8.2","13.7","-3649.522563","GGA"
"197","1","NC_006127_-_HAUS1_CDS","0.074","627.4","221.6","0.2194","0.0128","0.0581","8","12.9","-2859.858525","GGA"
"198","1","NC_006127_-_DMGDH_CDS","0.169","1832","655","0.0953","0.0161","0.1692","29.6","110.9","-5567.659138","GGA"
"199","1","NC_006127_-_MYO3AL_CDS","0.2","1056.9","434.1","0.2311","0.0338","0.1464","35.8","63.6","-3605.313987","GGA"
"200","1","NC_006127_-_MCC_CDS","0.151","1792.2","625.8","0.0087","0.0016","0.1899","3","118.8","-4930.483513","GGA"
"201","1","NC_006127_-_GCNT4_CDS","0.351","911","328","0.0888","0.0315","0.3549","28.7","116.4","-3056.073223","GGA"
